PERSONID	SERIAL	MOTIVE	MEANS1	CHARACTER1	OCCASION1	LOCATION1	OBJECT1	SPECIALTY1	INVADEMODE1	FLEEMODE1	TOOL1	FASHION1	TOOLSSOURCE1	COMMRULE1	ZONE1
R3601000220012006070016	1	120	2200	201	14	1408	563	6	2200	5	S0111	209	11	14	350629
R3601000220012006070017	1	106	1106	549	31	2332	557	4	2115	5	H1499	208	11	17	640111
R3601000220012006080001	1	115	4600	403	10	2325	572	8	2116	6	B0599	311	11	16	652200
R3601000220012006080002	1	121	4400	564	66	1806	526	82	2301	3	A1502	203	11	18	340404
R3601000220012006090001	1	109	6404	123	65	1399	526	27	2203	5	U0250	203	11	15	130723
R3601000220012006090002	1	121	3506	512	51	1103	566	5	2111	5	L0603	313	11	11	542623
R3601000220012006090003	1	112	2113	509	21	2285	515	5	2109	3	F0401	201	11	17	150125
R3601000220012006090007	1	119	4101	573	21	2205	527	21	2205	6	H0900	200	11	19	330382
R3601000220012006090009	1	126	2109	550	52	1782	563	40	2125	6	H1300	206	11	14	130281
R3601000220012006090010	1	115	2205	558	65	1185	573	22	2120	6	F0412	299	11	13	441825
R3601000220012006120001	1	120	3508	527	52	1406	559	46	2309	1	Y0053	300	11	15	220283
R3601000319992006050014	1	108	3510	403	14	1881	511	20	2105	3	M0500	313	11	16	440800
R3601000319992006090001	1	101	7402	508	15	701	517	6	2114	2	E0502	302	11	11	320123
R3601000319992006090002	1	124	4100	812	32	1304	548	25	2122	3	A1291	110	11	13	500237
R3601000319992006090003	1	103	2303	505	25	2286	512	1	2113	2	W0116	100	11	15	150124
R3601000319992006090004	1	122	3503	511	27	1801	527	28	2206	2	I0105	200	11	17	140428
R3601000319992006110001	1	118	5407	570	16	1680	532	30	2403	3	W0170	301	11	11	542424
R3601020009992006060001	1	102	5112	532	10	2326	563	39	2401	3	L0401	201	11	12	330723
R3601020009992006080001	1	108	7900	513	30	2300	565	22	2205	2	L0199	299	11	19	430529
R3601020009992006080002	1	113	4904	390	43	2321	504	32	2106	2	X0045	100	11	16	610624
R3601020009992006080003	1	103	1106	524	50	1781	570	18	2112	5	C0208	301	11	14	511501
R3601020009992006080005	1	113	5105	540	27	1404	569	22	2114	4	W0124	208	11	13	331125
R3601020009992006080006	1	103	1104	500	67	2325	566	11	2211	3	A0303	200	11	17	320203
R3601020009992006080007	1	121	5412	404	26	2114	514	24	2203	5	H1200	203	11	17	500382
R3601020009992006080008	1	113	5709	807	44	2385	545	4	2204	1	Y0033	313	11	17	442000
R3601020009992006080009	1	103	4390	538	11	2107	548	30	2108	1	A0921	313	11	17	371325
R3601020009992006080010	1	108	7488	537	26	2201	511	9	2123	4	E0112	190	11	13	513328
R3601020009992006080011	1	114	1000	808	50	2181	501	31	2118	1	X0019	204	11	17	370406
R3601020009992006080012	1	121	5710	810	21	2205	550	47	2207	1	B9900	202	11	19	320705
R3601020009992006080013	1	105	6419	565	73	2217	539	43	2205	1	K1004	204	11	14	450423
R3601020009992006080014	1	120	4200	558	27	2322	511	33	2110	6	A0399	204	11	19	520301
R3601020009992006080015	1	111	6516	802	61	2318	528	18	2213	3	C0207	202	11	19	210921
R3601020009992006080016	1	115	4204	573	26	2481	546	51	2405	2	W0776	207	11	13	421200
R3601020009992006090001	1	105	5790	562	10	1705	552	16	2400	6	Q0304	206	11	18	130635
R3601020009992006090002	1	104	5718	528	30	2101	536	27	2400	4	F0104	202	11	17	622627
R3601020009992006090003	1	120	3281	502	10	705	508	39	2305	6	L0606	299	11	18	130928
R3601020009992006090007	1	104	5790	511	15	1503	532	19	2303	3	A0800	300	11	19	410721
R3601020009992006090008	1	126	4911	804	14	2327	543	49	2406	5	C0311	208	11	16	540122
R3601020009992006090009	1	117	4402	520	48	1302	564	1	2403	5	P0106	313	11	19	370707
R3601020009992006090010	1	103	2900	529	10	2200	548	50	2300	1	L0770	311	11	13	510125
R3601020009992006090012	1	112	7405	810	70	2309	559	20	2205	6	Q0899	302	11	12	620102
R3601020009992006090013	1	114	6522	534	72	2285	530	2	2121	6	J0302	204	11	14	410303
R3601020009992006090015	1	102	5710	507	50	2315	601	47	2203	3	F0300	208	11	12	623024
R3601020009992006090016	1	122	5681	805	12	2108	535	37	2309	6	W0954	110	11	13	542135
R3601020009992006090017	1	120	4582	517	67	2103	552	10	2213	5	P0404	190	11	13	150124
R3601020009992006090018	1	120	5790	801	45	700	572	23	2120	6	B0208	209	11	14	150207
R3601020009992006090019	1	123	5307	526	46	1706	520	21	2402	1	U0211	207	11	16	654127
R3601020009992006090020	1	108	2404	302	22	1210	545	23	2102	6	I0600	205	11	19	350700
R3601020009992006090021	1	123	6406	808	26	1309	551	14	2106	6	L0103	207	11	19	320106
R3601020009992006090022	1	117	5201	532	28	1103	544	31	2107	5	A1200	205	11	16	321283
R3601020009992006090023	1	120	4904	805	23	340	526	12	2113	3	S0301	100	11	15	530400
R3601020009992006090024	1	112	2100	525	64	799	573	22	2404	1	A0604	202	11	14	330702
R3601020009992006090025	1	101	5209	539	71	1101	514	19	2406	6	R0500	206	11	11	440823
R3601020009992006090026	1	102	2104	303	45	2216	504	50	2304	1	W0484	200	11	13	130523
R3601020009992006090027	1	103	4403	533	13	2325	562	10	2204	6	F0605	207	11	16	612728
R3601020009992006090028	1	111	5114	520	20	120	543	27	2211	1	C0499	205	11	12	230716
R3601020009992006090029	1	104	7103	811	22	2181	567	4	2301	4	P0203	311	11	19	440221
R3601020009992006090030	1	113	6102	520	10	2116	527	80	2101	3	P0399	201	11	13	420509
R3601020009992006090031	1	123	5714	505	73	2280	513	42	2201	2	M0405	190	11	16	330104
R3601020009992006090032	1	113	4604	563	43	1480	570	37	2208	4	G0402	205	11	19	362429
R3601020009992006090033	1	109	3502	559	30	2208	528	41	2115	6	N9900	205	11	13	440501
R3601020009992006090034	1	124	1103	506	73	2304	556	28	2301	4	X0085	100	11	19	321088
R3601020009992006100001	1	109	3308	518	10	1781	539	47	2307	6	W0764	204	11	19	622600
R3601020009992006100002	1	118	1109	204	16	2384	602	33	2119	1	Y0002	203	11	14	330727
R3601020009992006100003	1	102	5705	546	70	2205	512	16	2114	1	E0601	110	11	15	310230
R3601020009992006100004	1	112	3506	803	32	2301	547	48	2203	6	M0502	190	11	13	445101
R3601020009992006100005	1	120	6407	506	42	1304	539	41	2205	1	P0104	299	11	13	500238
R3601020009992006100006	1	107	5510	516	28	1400	540	42	2400	4	C0241	100	11	19	310102
R3601020009992006120001	1	121	6533	536	25	2403	546	40	2120	5	U0340	301	11	19	150207
R3601020009992006120002	1	110	2390	300	73	1401	521	48	2111	1	X0053	313	11	18	511133
R3601020009992006120003	1	104	3504	555	72	1706	524	46	2406	2	H0100	205	11	15	663200
R3601020009992006120004	1	106	4105	524	47	2229	569	48	2306	3	X0016	207	11	12	510112
R3601020009992006120005	1	120	4607	122	13	2319	534	19	2112	1	M0401	207	11	15	520221
R3601020009992006120006	1	106	5608	812	41	2204	526	43	2306	6	W0012	209	11	16	445323
R3601020009992006120007	1	109	7100	551	14	2285	568	4	2105	6	T0199	201	11	16	513232
R3601020009992006120009	1	113	7480	512	69	2200	566	15	2102	2	E0406	311	11	15	350211
R3601020009992006120010	1	121	5704	557	16	1603	502	19	2307	3	N0208	201	11	16	410601
R3601020009992006120011	1	108	5407	401	12	1504	511	40	2123	5	X0027	203	11	19	230100
R3601020009992006120012	1	125	3500	526	43	2205	562	14	2111	5	M0303	205	11	14	511123
R3601020009992006120013	1	110	7112	516	66	1880	537	6	2205	3	M0403	204	11	13	210105
R3601020069992006050002	1	117	5706	510	24	1403	562	19	2103	3	J0301	207	11	11	510795
R3601020069992006050003	1	119	5481	564	52	390	509	12	2107	3	I1301	205	11	18	340823
R3601020069992006050004	1	113	6202	545	20	2109	545	25	2102	3	U0299	190	11	13	612500
R3601020069992006050005	1	108	5116	537	16	703	569	12	2201	5	N0399	203	11	16	140223
R3601020069992006050006	1	103	2390	540	61	2202	574	14	2404	1	A0299	204	11	15	542335
R3601020069992006050007	1	113	1309	536	27	2214	561	16	2200	3	Q0106	311	11	19	532528
R3601020069992006050008	1	112	3510	405	48	2286	505	42	2405	5	H0101	301	11	19	450703
R3601020069992006050009	1	101	2125	110	45	2402	560	45	2119	3	O0102	190	11	17	662600
R3601000000122006060001	1	127	4907	561	47	1703	543	14	2207	1	L0205	110	11	18	341702
R3601000089992006080006	1	124	5110	567	47	2205	602	39	2125	4	F0403	208	11	12	210123
R3601000089992006080007	1	127	5604	813	22	1402	515	11	2210	6	C0201	301	11	16	232722
R3601000089992006080008	1	113	5115	303	68	2104	567	14	2100	4	Q0200	299	11	12	142222
R3601000089992006080009	1	120	6436	536	14	2111	534	14	2117	4	A0199	302	11	12	441702
R3601000089992006080010	1	110	4911	566	12	2106	567	18	2103	2	W0356	204	11	18	452402
R3601000089992006080011	1	115	2205	505	73	310	559	41	2123	4	A0702	190	11	13	340301
R3601000089992006080012	1	107	4500	532	67	1600	505	4	2107	4	A0399	313	11	19	150623
R3601000089992006080013	1	118	4580	563	12	2199	542	16	2207	5	M0105	190	11	17	420206
R3601000089992006080014	1	118	2105	514	62	1402	564	50	2204	6	I0104	312	11	17	411002
R3601000089992006080015	1	113	3504	202	52	1220	541	25	2109	4	H9900	301	11	19	360501
R3601000089992006080016	1	106	3400	516	73	1105	534	48	2307	6	W0578	311	11	16	420203
R3601000089992006080017	1	123	5117	537	10	2310	529	15	2404	1	M0403	313	11	19	371312
R3601000089992006080018	1	103	4103	300	42	390	524	29	2101	6	U0110	201	11	14	340512
R3601000089992006080019	1	103	5682	401	10	320	503	9	2122	5	A1304	313	11	11	220502
R3601000089992006080020	1	114	4503	522	22	2299	501	16	2401	2	H0200	311	11	13	142223
R3601000089992006080021	1	102	7305	508	69	350	536	81	2110	4	B0902	209	11	15	142227
R3601000089992006080022	1	110	2309	546	45	2231	574	14	2210	5	K0830	206	11	17	652925
R3601000089992006080023	1	105	5208	201	14	381	538	15	2309	4	X0078	200	11	13	210213
R3601000089992006080024	1	106	7400	504	14	1199	571	25	2309	3	B0500	120	11	16	420201
R3601000089992006080025	1	115	2112	572	21	382	505	16	2209	4	X0037	299	11	11	430822
R3601000089992006080026	1	122	7405	551	69	2400	542	42	2404	3	X0042	205	11	11	320705
R3601000089992006080027	1	118	5713	546	44	2203	510	4	2203	1	K0100	202	11	11	610729
R3601000089992006080028	1	101	4203	553	72	2335	511	42	2118	4	W0554	110	11	15	652201
R3601000089992006080029	1	106	7303	525	50	2304	570	8	2111	1	S0110	208	11	12	142631
R3601000089992006080030	1	126	6200	563	72	2329	536	50	2121	1	C0241	205	11	12	462200
R3601000089992006080031	1	122	2203	526	64	703	542	9	2304	3	H1200	190	11	16	431225
R3601000089992006080032	1	111	6421	130	66	2334	543	16	2204	3	Y0041	205	11	12	450122
R3601000089992006080033	1	120	5501	509	46	310	548	81	2107	2	R0599	302	11	15	142322
R3601000089992006080034	1	124	4906	537	24	1409	602	11	2404	5	R0100	202	11	17	320307
R3601000089992006080035	1	118	5606	521	64	1184	539	20	2200	1	B0501	201	11	14	230500
R3601000089992006080036	1	110	5411	804	64	100	565	44	2208	6	P0104	206	11	14	120111
R3601000089992006080037	1	103	1115	567	60	1408	531	51	2126	2	C0205	100	11	12	152822
R3601000089992006080038	1	111	7202	526	51	2208	511	41	2303	4	A1795	110	11	19	210604
R3601000089992006080039	1	116	6430	565	23	2116	513	8	2119	4	C0216	204	11	14	350601
R3601000089992006080040	1	106	2300	803	32	2309	522	15	2205	5	C9900	299	11	11	220501
R3601000089992006080041	1	119	6111	569	67	1400	556	39	2304	3	C0105	312	11	13	530623
R3601000089992006080042	1	115	6506	120	65	1406	550	10	2122	3	F0601	200	11	14	321003
R3601000089992006080043	1	123	7104	521	23	2382	602	11	2303	6	B0301	204	11	15	210604
R3601000089992006080044	1	124	3490	404	28	1182	522	20	2103	6	W0558	203	11	15	623000
R3601000089992006080045	1	113	3503	300	13	2219	511	2	2115	1	B1000	206	11	19	652301
R3601000089992006080046	1	117	5314	808	16	2331	532	40	2203	4	L0799	301	11	12	230403
R3601000089992006080047	1	111	7480	303	31	1310	526	46	2205	2	H1199	100	11	13	350625
R3601000089992006080048	1	113	2900	505	63	2320	524	11	2304	2	B0170	313	11	15	320504
R3601000089992006080049	1	115	3631	503	10	1104	515	35	2122	3	F0407	301	11	14	431202
R3601000089992006080050	1	107	3512	531	28	2207	503	16	2200	6	Y0090	110	11	13	350601
R3601000089992006080051	1	105	5700	547	63	2216	510	31	2121	4	O0200	110	11	17	320503
R3601000089992006080052	1	110	5713	512	13	2204	556	8	2309	1	E0100	209	11	13	431227
R3601000089992006080053	1	120	5480	516	24	2330	524	8	2106	3	F0608	207	11	13	330825
R3601000089992006080054	1	102	3504	543	71	2287	549	30	2200	5	C0300	202	11	16	522706
R3601000089992006080055	1	104	7109	514	28	2286	574	35	2202	6	C0245	311	11	16	630102
R3601000089992006080056	1	121	5506	516	50	2480	558	45	2309	6	C0239	311	11	18	130624
R3601000089992006080057	1	102	1190	190	73	1307	540	26	2112	2	C0234	207	11	15	632802
R3601000089992006080058	1	112	3504	800	43	1404	573	5	2213	6	B0700	202	11	11	130132
R3601000089992006080059	1	125	3301	516	65	383	554	28	2109	5	F0699	204	11	12	330182
R3601000089992006080060	1	123	7109	536	32	383	554	20	2109	1	Y0053	299	11	12	360421
R3601000089992006080061	1	116	2115	100	15	2281	566	1	2118	6	A1002	204	11	13	542323
R3601000089992006080062	1	106	1110	562	14	2326	550	6	2404	6	Q0102	299	11	11	430529
R3601000089992006080063	1	127	5316	400	47	2309	539	17	2125	2	H1002	201	11	14	230904
R3601000089992006080064	1	105	6515	501	21	2285	511	15	2100	4	U0280	300	11	11	320981
R3601000089992006080065	1	107	1107	554	61	1799	516	49	2213	4	P0303	299	11	13	372321
R3601000089992006080066	1	102	2206	508	11	2114	530	9	2206	6	X0082	190	11	14	511025
R3601000089992006080067	1	116	3631	571	11	2114	501	8	2210	4	C0205	300	11	19	542331
R3601000089992006080068	1	112	5316	547	65	1404	545	3	2110	2	X0021	208	11	13	370112
R3601000089992006080069	1	119	2122	522	73	2107	558	41	2105	5	W0246	190	11	16	530101
R3601000089992006080070	1	101	3504	800	71	2401	562	21	2105	4	C0311	302	11	16	210401
R3601000089992006080071	1	106	2120	523	21	1100	546	34	2108	6	I1299	313	11	17	430609
R3601000089992006080072	1	114	4101	541	25	2319	571	7	2107	5	X0065	100	11	16	410900
R3601000089992006080073	1	118	2126	300	61	2323	515	16	2304	3	U0599	110	11	13	120000
R3601000089992006080074	1	123	5407	533	32	1103	574	21	2121	1	X0078	299	11	11	320106
R3601000089992006080075	1	124	2125	553	63	2234	559	47	2304	5	E0117	203	11	14	420608
R3601000089992006080076	1	124	6532	502	52	2114	550	30	2307	6	G0601	190	11	15	341124
R3601000089992006080077	1	113	3490	810	61	1480	602	29	2108	4	X0037	203	11	13	230605
R3601000089992006080078	1	121	7205	812	73	2325	550	3	2212	4	C0606	200	11	16	130623
R3601000089992006080079	1	125	2405	202	20	100	563	28	2404	2	X0025	202	11	15	230921
R3601000089992006090001	1	123	5316	801	25	2209	541	45	2304	1	C0303	206	11	16	452700
R3601000089992006090002	1	107	5503	560	21	1185	549	18	2206	5	W0376	312	11	12	130800
R3601000089992006090003	1	125	4914	403	60	1307	572	80	2111	5	A0702	301	11	13	350527
R3601000089992006110001	1	107	5683	573	23	1805	521	8	2124	4	N0102	207	11	11	513122
R3601000089992006110002	1	103	1113	507	44	383	504	27	2115	1	H1102	201	11	17	130627
R3601000089992006110003	1	109	1105	536	31	1502	516	46	2111	1	A1303	313	11	17	410300
R3601000089992006110004	1	119	4106	524	27	2480	522	40	2303	1	E0117	313	11	18	411200
R3601000089992006110005	1	101	5412	503	64	1408	555	45	2308	5	G0400	205	11	18	140211
R3601000089992006110006	1	120	8000	813	60	1605	572	32	2107	5	Y0051	120	11	13	330821
R3601000089992006110007	1	112	4404	803	27	2313	509	81	2123	5	U0130	207	11	18	150623
R3601000089992006110008	1	115	3601	515	52	1409	555	25	2124	2	L0600	207	11	15	210522
R3601000089992006110009	1	112	5408	201	60	705	556	11	2209	4	G0600	208	11	18	310229
R3601000089992006110010	1	114	6512	566	68	1309	601	45	2406	5	L0605	200	11	18	652123
R3601000089992006110011	1	125	4600	528	22	2280	505	6	2309	4	Q0800	120	11	15	152822
R3601000089992006110012	1	124	3501	804	64	2208	521	17	2125	4	F0409	206	11	17	441422
R3601000089992006110013	1	104	7404	548	73	1181	553	46	2112	3	Q0301	205	11	19	440303
R3601000089992006110015	1	107	4201	110	14	1308	556	43	2117	6	K0790	313	11	13	370103
R3601000089992006110016	1	117	3481	572	66	300	558	47	2210	3	Y0015	208	11	18	341702
R3601000089992006110017	1	117	7105	516	67	2210	524	30	2304	1	E0210	206	11	12	142325
R3601000089992007020001	1	112	7404	517	63	2384	554	3	2201	3	F0100	100	11	16	542326
R3601000089992007020002	1	109	6440	525	65	2219	513	8	2125	6	K0399	200	11	17	210124
R3601000089992007020003	1	123	1300	804	41	2285	520	23	2120	5	O0204	205	11	17	431127
R3601000089992007020004	1	109	8000	554	69	1199	502	33	2300	3	O9900	100	11	16	441702
R3601000089992007020005	1	110	2208	803	62	2287	601	51	2111	4	H1004	301	11	15	513824
R3601000220012006050001	1	105	2306	519	72	1200	566	20	2100	4	W0032	120	11	18	540125
R3601000220012006050002	1	102	5290	202	14	1704	526	5	2124	4	G0502	206	11	11	140525
R3601000220012006050003	1	108	3405	551	27	1200	502	37	2209	4	G0305	100	11	15	410105
R3601000220012006050004	1	109	5717	539	65	2109	503	17	2405	5	W0360	299	11	12	452700
R3601000220012006050005	1	111	4980	121	41	703	503	19	2213	6	U0199	301	11	13	140500
R3601000220012006050006	1	119	5323	537	60	350	553	12	2107	3	V0132	200	11	19	653200
R3601000220012006060001	1	111	6490	121	47	2104	554	4	2207	3	F0631	302	11	13	150000
R3601000220012006060002	1	102	6425	573	20	2212	567	35	2306	4	X0031	201	11	15	440802
R3601000220012006060003	1	108	7401	519	41	2334	529	16	2119	3	W0604	312	11	14	411524
R3601000000122006060002	1	121	4904	301	47	1402	539	24	2206	4	X0014	205	11	12	150601
R3601000000122006090001	1	101	5100	507	22	1881	523	39	2110	1	D0220	206	11	12	142332
R3601000000122006090002	1	115	2302	560	66	2112	512	10	2405	5	A0401	120	11	14	370902
R3601000000122006090003	1	104	7106	553	31	300	544	45	2201	6	S0110	311	11	16	320324
R3601000000122006090004	1	122	4280	549	64	2221	515	23	2104	1	N0206	209	11	12	210802
R3601000000122006120001	1	105	5713	548	48	1304	531	32	2109	5	F0104	311	11	18	370602
R3601000000122006120002	1	102	4480	201	27	2108	565	42	2118	2	K1002	301	11	11	522700
R3601000000122006120003	1	120	6434	536	21	1409	537	5	2103	1	I1302	110	11	16	450621
R3601000069992006090002	1	112	5207	404	61	2203	538	22	2205	3	H1101	120	11	17	630101
R3601000069992006090003	1	105	6112	516	70	1401	512	20	2106	5	X0079	120	11	19	210521
R3601000069992006090004	1	123	5681	100	70	1702	602	2	2303	1	C0201	100	11	13	532531
R3601000069992006090007	1	106	3514	290	41	1310	538	81	2123	4	H1699	207	11	16	411506
R3601000089992006040001	1	115	2304	572	31	1199	531	26	2309	3	B0904	120	11	11	210904
R3601000089992006040002	1	109	5580	558	41	1782	537	30	2101	3	A1605	204	11	16	350601
R3601000089992006040003	1	102	5580	521	70	1180	568	9	2111	4	I1303	205	11	19	331127
R3601000089992006040004	1	127	3490	540	46	1106	555	46	2102	6	B0150	204	11	16	650104
R3601000089992006040005	1	119	5100	560	22	330	570	43	2205	1	E0204	312	11	16	513023
R3601000089992006040006	1	109	5716	559	31	2282	512	32	2206	5	E0110	208	11	15	410181
R3601000089992006070001	1	120	1309	573	66	1680	571	23	2208	3	C0244	200	11	16	622629
R3601000089992006070002	1	125	3504	505	32	1801	546	25	2210	2	A0100	209	11	13	320821
R3601000089992006070003	1	101	3504	553	63	2405	550	22	2122	2	F0411	202	11	19	420105
R3601000089992006070004	1	120	4390	508	50	1705	568	82	2112	6	A0604	200	11	15	341881
R3601000089992006070005	1	113	2123	202	28	1200	510	21	2120	6	N0103	204	11	13	230600
R3601000089992006070006	1	108	3520	809	16	2406	559	16	2210	6	N9900	209	11	13	222426
R3601000089992006070007	1	127	3220	204	32	2287	538	41	2122	3	P0107	204	11	12	150100
R3601000089992006070008	1	105	5410	571	52	1185	574	21	2307	5	I1302	203	11	11	140524
R3601000089992006070009	1	106	4580	536	16	1502	537	42	2207	1	B0702	200	11	18	450500
R3601000089992006070011	1	103	2211	406	16	1702	511	18	2102	4	Y0061	312	11	17	341404
R3601000089992006070012	1	115	2204	527	71	2334	524	29	2304	1	B9900	204	11	13	350627
R3601000089992006070013	1	110	6107	510	24	705	547	81	2110	4	P0408	204	11	11	150524
R3601000089992006070014	1	115	3503	527	68	2209	520	29	2101	3	Q0404	207	11	18	411003
R3601000089992006070015	1	112	5110	531	61	2330	551	17	2213	4	X0011	202	11	11	652927
R3601000089992006070016	1	120	5317	124	32	2199	501	35	2301	3	X0065	202	11	11	610423
R3601000089992006070017	1	121	2490	560	43	1101	539	50	2202	3	Q0501	202	11	11	530600
R3601000089992006070018	1	115	5300	569	27	2315	545	24	2406	5	C0212	301	11	15	500107
R3601000089992006070019	1	105	5505	541	51	2319	505	11	2300	3	C0242	301	11	17	130724
R3601000089992006070020	1	107	2110	406	13	2181	537	4	2113	4	Q0801	209	11	11	420528
R3601000089992006070021	1	112	3403	401	24	1105	540	9	2110	5	K0199	204	11	11	341002
R3601000089992006070022	1	125	5300	513	13	2222	552	4	2115	5	W0116	205	11	15	532526
R3601000089992006070023	1	113	5680	401	23	1410	531	82	2203	5	X0081	207	11	16	450108
R3601000089992006070024	1	114	3519	520	42	130	533	17	2110	3	R0201	120	11	14	610101
R3601000089992006070025	1	106	5608	202	47	1300	528	23	2104	6	G0400	312	11	13	410403
R3601000089992006070026	1	101	7115	556	16	2403	539	41	2212	2	S0102	190	11	16	420702
R3601000089992006070027	1	111	5406	204	43	500	506	6	2401	2	Y0045	207	11	11	370902
R3601000089992006070028	1	101	6000	808	11	1680	502	19	2121	2	W0214	204	11	16	350206
R3601000089992006070029	1	114	5615	290	47	2405	541	31	2405	3	A1000	209	11	15	421122
R3601000089992006070030	1	111	6402	540	72	1310	553	40	2208	5	J0199	200	11	14	530428
R3601000089992006070031	1	107	6106	571	47	2287	518	27	2116	4	B0207	205	11	15	450903
R3601000089992006070032	1	110	4901	540	63	2314	571	19	2200	4	B0506	201	11	18	511301
R3601000089992006080001	1	114	5290	517	21	1407	532	30	2112	2	B1100	311	11	17	542400
R3601000089992006080002	1	109	2121	547	47	1108	524	21	2207	3	L0599	202	11	19	410821
R3601000089992006080003	1	104	5712	507	22	2301	569	26	2305	4	A0110	300	11	18	320107
R3601000089992006080004	1	112	3520	543	15	140	602	3	2211	3	N0209	313	11	13	513722
R3601000089992006080005	1	113	4211	553	32	1105	567	24	2101	1	G0300	301	11	18	130724
R3601030029992006080003	1	126	2380	202	23	2286	520	33	2400	6	X0027	203	11	14	522623
R3601030069992006050001	1	123	5684	501	71	2303	526	51	2204	4	J0101	209	11	18	640122
R3601030079992006050002	1	102	2206	500	25	2106	510	44	2308	5	N0300	100	11	13	320902
R3601030079992006050004	1	109	5710	802	47	2499	521	82	2306	4	W0952	190	11	19	430400
R3601030079992006050005	1	103	7302	390	65	1701	567	9	2126	1	C0114	100	11	14	610427
R3601030079992006050006	1	124	5319	402	13	340	564	7	2205	5	N0304	300	11	18	230231
R3601030109992006040002	1	115	2405	573	47	701	602	35	2102	4	C0299	209	11	15	341626
R3601030139992006060001	1	122	4209	525	67	2320	516	49	2300	5	E0112	313	11	13	530601
R3601110049992006110001	1	113	1303	110	69	340	504	2	2106	1	P0301	120	11	11	410825
R3603020019992007030003	1	125	5613	521	66	1220	546	23	2207	6	N0302	200	11	15	410706
R3603020019992007030004	1	123	2124	516	46	330	550	80	2205	2	P0102	205	11	11	620524
R3603020019992007030005	1	109	5317	511	62	2327	526	29	2401	6	G0204	201	11	15	460086
R3603020019992007030006	1	117	5112	516	68	1182	533	36	2111	3	A1506	207	11	12	341001
R3603020019992007030007	1	108	5104	557	43	1184	558	19	2300	6	S0200	206	11	18	140623
R3603020019992007030009	1	105	6500	406	52	1182	527	24	2123	1	B0120	302	11	19	532800
R3603020019992007030013	1	125	5208	190	16	2315	522	22	2101	1	L0605	301	11	15	150430
R3603020019992007030014	1	123	3522	808	27	1410	569	48	2201	3	Y0006	300	11	14	142328
R3603020019992007030015	1	123	6101	507	12	1410	531	47	2305	1	W0620	203	11	16	653221
R3603020019992007040001	1	109	5715	562	72	2216	531	40	2121	1	P0404	302	11	18	450000
R3603020019992007040014	1	122	5202	404	52	110	554	5	2124	6	P0100	201	11	19	220381
R3603020019992007040017	1	108	5503	505	48	2216	550	25	2102	3	I0900	209	11	17	460104
R3603020019992007040020	1	104	2209	556	13	2382	508	25	2102	4	H1301	205	11	16	420606
R3603020019992007040021	1	107	6390	303	70	130	502	81	2209	3	E0501	205	11	12	362428
R3603020019992007040024	1	126	1102	512	16	2319	562	27	2401	5	Q0109	207	11	16	510682
R3603020019992007040026	1	108	7208	301	67	1801	548	81	2121	3	M0101	110	11	11	431122
R3603020019992007040027	1	108	6440	527	68	1100	563	11	2124	2	X0050	207	11	13	520112
R3603020019992007040028	1	110	6404	546	25	2407	509	26	2303	6	H1002	207	11	11	130631
R3603020019992007040029	1	104	4502	559	15	2226	601	43	2308	4	S0101	100	11	17	530402
R3603020019992007040030	1	110	4510	543	64	1781	547	36	2126	5	L0200	311	11	11	532931
